location,total_cases,total_deaths,total_vaccinations,population,Mortality Rate (%),Vaccination Rate (%)
Afghanistan,162926.0,7414.0,5125146.0,41128772.0,4.55,12.46
Africa,10887086.0,238995.0,354400724.0,1426736614.0,2.2,24.84
Albania,258543.0,3346.0,2523683.0,2842318.0,1.29,88.79
Algeria,252117.0,6579.0,12974545.0,44903228.0,2.61,28.89
Andorra,35958.0,145.0,140193.0,79843.0,0.4,175.59
Angola,98116.0,1895.0,14588435.0,35588996.0,1.93,40.99
Anguilla,2324.0,8.0,21449.0,15877.0,0.34,135.09
Antigua and Barbuda,6627.0,127.0,123555.0,93772.0,1.92,131.76
Argentina,8378656.0,121273.0,88931451.0,45510324.0,1.45,195.41
Armenia,367795.0,8053.0,1883413.0,2780472.0,2.19,67.74
Aruba,33000.0,193.0,166440.0,106459.0,0.58,156.34
Asia,100788829.0,1297265.0,6832455588.0,4721383370.0,1.29,144.71
Australia,2607242.0,3835.0,49866290.0,26177410.0,0.15,190.49
Austria,1835602.0,17207.0,17759608.0,8939617.0,0.94,198.66
Azerbaijan,658470.0,8734.0,12000767.0,10358078.0,1.33,115.86
Bahamas,32562.0,746.0,318916.0,409989.0,2.29,77.79
Bahrain,374575.0,1408.0,3357017.0,1472237.0,0.38,228.02
Bangladesh,1798833.0,28394.0,156416604.0,171186368.0,1.58,91.37
Barbados,44430.0,280.0,305374.0,281646.0,0.63,108.42
Belarus,742953.0,6052.0,10028295.0,9534956.0,0.81,105.17
Belgium,3155239.0,29052.0,24220440.0,11655923.0,0.92,207.8
Belize,50487.0,625.0,445691.0,405285.0,1.24,109.97
Benin,26450.0,163.0,2138322.0,13352864.0,0.62,16.01
Bermuda,10793.0,117.0,120535.0,64207.0,1.08,187.73
Bhutan,4891.0,4.0,1435774.0,782457.0,0.08,183.5
Bolivia,855705.0,20951.0,11860582.0,12224114.0,2.45,97.03
Bonaire Sint Eustatius and Saba,7001.0,28.0,35845.0,27052.0,0.4,132.5
Bosnia and Herzegovina,347467.0,14447.0,1924950.0,3233530.0,4.16,59.53
Botswana,253036.0,2581.0,1128095.0,2630300.0,1.02,42.89
Brazil,25463530.0,627589.0,362503209.0,215313504.0,2.46,168.36
British Virgin Islands,5875.0,49.0,36330.0,31332.0,0.83,115.95
Brunei,16476.0,98.0,979285.0,449002.0,0.59,218.1
Bulgaria,951965.0,33318.0,4165478.0,6781955.0,3.5,61.42
Burkina Faso,20624.0,366.0,1259250.0,22673764.0,1.77,5.55
Burundi,37432.0,38.0,8400.0,12889583.0,0.1,0.07
Cambodia,121355.0,3015.0,33144777.0,16767851.0,2.48,197.67
Cameroon,116718.0,1880.0,1024333.0,27914542.0,1.61,3.67
Canada,3073654.0,33870.0,78058871.0,38454328.0,1.1,202.99
Cape Verde,55695.0,396.0,611615.0,593162.0,0.71,103.11
Cayman Islands,13788.0,15.0,137430.0,68722.0,0.11,199.98
Central African Republic,13919.0,110.0,652134.0,5579148.0,0.79,11.69
Chad,7155.0,190.0,392157.0,17723312.0,2.66,2.21
Chile,2165984.0,39721.0,46712392.0,19603736.0,1.83,238.28
China,120069.0,4906.0,3000532000.0,1425887360.0,4.09,210.43
Colombia,5887261.0,134300.0,71927908.0,51874028.0,2.28,138.66
Comoros,7832.0,160.0,598000.0,836783.0,2.04,71.46
Congo,23705.0,371.0,758891.0,5970430.0,1.57,12.71
Cook Islands,2.0,0.0,25601.0,17032.0,0.0,150.31
Costa Rica,694865.0,7575.0,8315360.0,5180836.0,1.09,160.5
Cote d'Ivoire,80718.0,785.0,7591109.0,28160548.0,0.97,26.96
Croatia,937167.0,13827.0,5100960.0,4030361.0,1.48,126.56
Cuba,1044790.0,8399.0,34298831.0,11212198.0,0.8,305.91
Curacao,37128.0,232.0,240373.0,191173.0,0.62,125.74
Cyprus,256746.0,733.0,1693504.0,896007.0,0.29,189.01
Czechia,3115889.0,37209.0,17057884.0,10493990.0,1.19,162.55
Democratic Republic of Congo,85379.0,1278.0,468253.0,99010216.0,1.5,0.47
Denmark,1742569.0,3755.0,12907072.0,5882259.0,0.22,219.42
Djibouti,15464.0,189.0,150755.0,1120851.0,1.22,13.45
Dominica,9032.0,51.0,60254.0,72758.0,0.56,82.81
Dominican Republic,555245.0,4307.0,14773753.0,11228821.0,0.78,131.57
Ecuador,732038.0,34533.0,30028057.0,18001002.0,4.72,166.81
