Country/Region,AvgGrowthRate (%)
Afghanistan,inf
Albania,inf
Algeria,inf
Andorra,inf
Angola,inf
Antigua and Barbuda,inf
Argentina,inf
Armenia,inf
Australia,inf
Austria,inf
Azerbaijan,inf
Bahamas,inf
Bahrain,inf
Bangladesh,inf
Barbados,inf
Belarus,inf
Belgium,inf
Belize,inf
Benin,inf
Bhutan,inf
Bolivia,inf
Bosnia and Herzegovina,inf
Botswana,inf
Brazil,inf
Brunei,inf
Bulgaria,inf
Burkina Faso,inf
Burma,inf
Burundi,inf
Cabo Verde,inf
Cambodia,inf
Cameroon,inf
Canada,inf
Central African Republic,inf
Chad,inf
Chile,inf
China,3.1546052653132155
Colombia,inf
Comoros,inf
Congo (Brazzaville),inf
Congo (Kinshasa),inf
Costa Rica,inf
Cote d'Ivoire,inf
Croatia,inf
Cuba,inf
Cyprus,inf
Czechia,inf
Denmark,inf
Djibouti,inf
Dominica,inf
Dominican Republic,inf
Ecuador,inf
Egypt,inf
El Salvador,inf
Equatorial Guinea,inf
Eritrea,inf
Estonia,inf
Eswatini,inf
Ethiopia,inf
Fiji,inf
Finland,inf
France,inf
Gabon,inf
Gambia,inf
Georgia,inf
Germany,inf
Ghana,inf
Greece,inf
Greenland,inf
Grenada,inf
Guatemala,inf
Guinea,inf
Guinea-Bissau,inf
Guyana,inf
Haiti,inf
Holy See,inf
Honduras,inf
Hungary,inf
Iceland,inf
India,inf
Indonesia,inf
Iran,inf
Iraq,inf
Ireland,inf
Israel,inf
Italy,inf
Jamaica,inf
Japan,5.7131937041392575
Jordan,inf
Kazakhstan,inf
Kenya,inf
Kosovo,inf
Kuwait,inf
Kyrgyzstan,inf
Laos,inf
Latvia,inf
Lebanon,inf
Lesotho,inf
Liberia,inf
Libya,inf
Liechtenstein,inf
Lithuania,inf
Luxembourg,inf
Madagascar,inf
Malawi,inf
Malaysia,inf
Maldives,inf
Mali,inf
Malta,inf
Mauritania,inf
Mauritius,inf
Mexico,inf
Moldova,inf
Monaco,inf
Mongolia,inf
Montenegro,inf
Morocco,inf
Mozambique,inf
Namibia,inf
Nepal,inf
Netherlands,inf
New Zealand,inf
Nicaragua,inf
Niger,inf
Nigeria,inf
North Macedonia,inf
Norway,inf
Oman,inf
Pakistan,inf
Panama,inf
Papua New Guinea,inf
Paraguay,inf
Peru,inf
Philippines,inf
Poland,inf
Portugal,inf
Qatar,inf
Romania,inf
Russia,inf
Rwanda,inf
Saint Kitts and Nevis,inf
Saint Lucia,inf
Saint Vincent and the Grenadines,inf
San Marino,inf
Sao Tome and Principe,inf
Saudi Arabia,inf
Senegal,inf
Serbia,inf
Seychelles,inf
Sierra Leone,inf
Singapore,inf
Slovakia,inf
Slovenia,inf
Somalia,inf
South Africa,inf
South Korea,6.919626208736322
South Sudan,inf
Spain,inf
Sri Lanka,inf
Sudan,inf
Suriname,inf
Sweden,inf
Switzerland,inf
Syria,inf
Taiwan*,3.998633199116012
Tajikistan,inf
Tanzania,inf
Thailand,4.4990896687336095
Timor-Leste,inf
Togo,inf
Trinidad and Tobago,inf
Tunisia,inf
Turkey,inf
US,9.68376767054217
Uganda,inf
Ukraine,inf
United Arab Emirates,inf
United Kingdom,inf
Uruguay,inf
Uzbekistan,inf
Venezuela,inf
Vietnam,inf
West Bank and Gaza,inf
Western Sahara,inf
Yemen,inf
Zambia,inf
Zimbabwe,inf
