Country/Region,Confirmed,Deaths,Recovered,Recovery Rate (%),Mortality Rate (%)
Yemen,67180,17707,23779,35.39595117594522,26.357546888955046
Belgium,6281116,963679,1627492,25.9108731633041,15.342480540082368
United Kingdom,26748587,3997775,126217,0.471864177348882,14.945742741476401
France,21210926,3048524,7182115,33.860450034100346,14.37242296729525
Italy,26745145,3707717,15673910,58.60469255261095,13.86314039426595
Hungary,396247,51053,204205,51.534775026687896,12.884135400394198
Netherlands,5167516,622314,16967,0.32833957359783694,12.042807414626292
Mexico,14946202,1728277,11141225,74.54218135148983,11.563318895328727
Spain,27404045,3033030,15093583,55.077938311661654,11.067818637723008
Bahamas,12100,1203,6047,49.97520661157025,9.942148760330578
