Country/Region,Confirmed,Deaths,Recovered,Recovery Rate (%),Mortality Rate (%)
Liechtenstein,10351,116,9477,91.5563713650855,1.1206646700801854
Greenland,1507,0,1372,91.04180491041805,0.0
Iceland,221241,1141,190132,85.93886304979638,0.5157271934225574
Thailand,366527,6289,312360,85.22155257320743,1.715835395482461
New Zealand,175979,2181,149560,84.98741327090164,1.2393524227322579
Brunei,18168,226,15262,84.0048436811977,1.2439453985028623
Saint Lucia,2236,0,1860,83.18425760286226,0.0
Mauritius,39448,1161,32602,82.64550801054553,2.9431149868180895
Cambodia,17079,0,13917,81.48603548217108,0.0
Germany,21059152,871322,17107839,81.23707450328484,4.137498034108876
